conacct,p_L,p_H1,p_H2,p_H3,size,SHH_G,CONTROLS_house_1,CONTROLS_house_2,CONTROLS_low_skill,CONTROLS_hhemp2,CONTROLS_hhemp3,CONTROLS_age2,CONTROLS_age3,CONTROLS_INC,CONTROLS_barangay_id
554376,0,15.3257546954685,31.5552897276702,41.1401774794967,3,1,1,0,1,0,0,0,0,10000,7605028
554442,0,15.3257546954685,31.5552897276702,41.1401774794967,3,1,1,0,0,1,0,1,0,10000,7605029
555224,0,15.3257546954685,31.5552897276702,41.1401774794967,4,1,1,0,0,0,0,1,0,10000,7605039
555596,0,15.3257546954685,31.5552897276702,41.1401774794967,8,1,0,1,0,0,0,1,0,10000,7605044
556116,0,15.3257546954685,31.5552897276702,41.1401774794967,2,1,0,1,0,0,0,1,0,10000,7605050
556719,0,15.3257546954685,31.5552897276702,41.1401774794967,6,1,0,1,0,1,0,0,1,10000,7605059
557141,0,15.3257546954685,31.5552897276702,41.1401774794967,3,1,0,1,0,0,0,0,1,10000,7605064
558211,0,15.3257546954685,31.5552897276702,41.1401774794967,7,1,0,0,0,1,0,1,0,10000,7605080
558177,0,15.3257546954685,31.5552897276702,41.1401774794967,6,1,1,0,0,1,0,1,0,10000,7605080
558359,0,15.3257546954685,31.5552897276702,41.1401774794967,1,1,0,1,0,0,0,0,1,10000,7605083
558511,0,15.3257546954685,31.5552897276702,41.1401774794967,2,1,0,1,0,0,0,0,0,10000,7605088
558689,0,15.3257546954685,31.5552897276702,41.1401774794967,1,1,1,0,0,0,0,0,1,10000,7605094
558698,0,15.3257546954685,31.5552897276702,41.1401774794967,4,1,0,1,0,0,0,0,0,10000,7605094
558808,0,15.3257546954685,31.5552897276702,41.1401774794967,2,1,1,0,0,0,0,0,1,10000,7605095
558918,0,15.3257546954685,31.5552897276702,41.1401774794967,3,1,0,1,0,1,0,1,0,10000,7605097
559514,0,15.3257546954685,31.5552897276702,41.1401774794967,5,1,0,1,0,0,0,1,0,10000,7605109
559863,0,15.3257546954685,31.5552897276702,41.1401774794967,2,1,0,0,0,1,0,1,0,10000,7605114
559847,0,15.3257546954685,31.5552897276702,41.1401774794967,6,1,0,1,0,1,0,1,0,10000,7605114
560315,0,15.3257546954685,31.5552897276702,41.1401774794967,3,1,0,1,0,1,0,0,1,10000,7605122
561188,0,15.3257546954685,31.5552897276702,41.1401774794967,4,1,0,1,1,1,0,1,0,10000,7605133
561226,0,15.3257546954685,31.5552897276702,41.1401774794967,5,1,1,0,0,0,0,1,0,10000,7605134
561274,0,15.3257546954685,31.5552897276702,41.1401774794967,1,1,0,1,0,0,0,0,1,10000,7605134
561229,0,15.3257546954685,31.5552897276702,41.1401774794967,4,1,0,0,1,0,0,0,0,10000,7605134
561358,0,15.3257546954685,31.5552897276702,41.1401774794967,8,1,0,1,1,1,0,0,1,10000,7605135
561395,0,15.3257546954685,31.5552897276702,41.1401774794967,3,1,0,1,0,1,0,0,0,10000,7605135
561674,0,15.3257546954685,31.5552897276702,41.1401774794967,4,1,1,0,0,1,0,0,1,10000,7605138
563901,0,15.3257546954685,31.5552897276702,41.1401774794967,3,1,0,0,1,0,0,1,0,10000,7605162
563896,0,15.3257546954685,31.5552897276702,41.1401774794967,4,1,0,1,0,1,0,0,0,10000,7605162
564122,0,15.3257546954685,31.5552897276702,41.1401774794967,1,1,0,1,1,0,0,1,0,10000,7605165
564783,0,15.3257546954685,31.5552897276702,41.1401774794967,5,1,1,0,0,0,0,1,0,10000,7605171
564984,0,15.3257546954685,31.5552897276702,41.1401774794967,3,1,0,0,0,1,0,0,0,10000,7605172
564992,0,15.3257546954685,31.5552897276702,41.1401774794967,3,1,0,0,0,1,0,0,0,10000,7605172
564980,0,15.3257546954685,31.5552897276702,41.1401774794967,7,1,0,1,1,0,0,1,0,10000,7605172
565005,0,15.3257546954685,31.5552897276702,41.1401774794967,4,1,0,0,1,0,0,0,0,10000,7605173
565011,0,15.3257546954685,31.5552897276702,41.1401774794967,8,1,1,0,0,1,0,1,0,10000,7605173
565254,0,15.3257546954685,31.5552897276702,41.1401774794967,3,1,0,1,1,1,0,0,0,10000,7605176
565507,0,15.3257546954685,31.5552897276702,41.1401774794967,5,1,0,1,0,1,0,0,1,10000,7605177
565511,0,15.3257546954685,31.5552897276702,41.1401774794967,2,1,0,0,0,0,0,0,1,10000,7605177
565559,0,15.3257546954685,31.5552897276702,41.1401774794967,6,1,0,0,0,0,0,1,0,10000,7605177
565369,0,15.3257546954685,31.5552897276702,41.1401774794967,5,1,1,0,0,0,0,1,0,10000,7605177
565384,0,15.3257546954685,31.5552897276702,41.1401774794967,2,1,0,1,0,1,0,0,1,10000,7605177
566100,0,15.3257546954685,31.5552897276702,41.1401774794967,8,1,1,0,1,0,0,1,0,10000,7605179
566217,0,15.3257546954685,31.5552897276702,41.1401774794967,7,1,0,1,0,0,0,0,1,10000,7605180
570041,0,15.3257546954685,31.5552897276702,41.1401774794967,5,1,1,0,0,1,0,0,1,10000,7605194
